GeoID,SPID,evalue,ProteinName,Organism
comp139736_c2_seq2,Q32KJ9,9E-26,Arylsulfatase G (ASG) (EC 3.1.6.-),Rattus norvegicus (Rat)
comp139736_c2_seq3,P50430,5E-82,Arylsulfatase B (ASB) (EC 3.1.6.12) (N-acetylgalactosamine-4-sulfatase) (G4S),Rattus norvegicus (Rat)
comp139737_c0_seq3,Q1L981,2E-27,Tudor domain-containing protein 5,Danio rerio (Zebrafish) (Brachydanio rerio)
comp139738_c0_seq2,Q8BG51,0,Mitochondrial Rho GTPase 1 (MIRO-1) (EC 3.6.5.-) (Ras homolog gene family member T1),Mus musculus (Mouse)
comp139741_c0_seq1,Q02241,3E-35,Kinesin-like protein KIF23 (Kinesin-like protein 5) (Mitotic kinesin-like protein 1),Homo sapiens (Human)
comp139741_c0_seq3,Q9GYZ0,0,Kinesin-like protein KIF15 (Kinesin-related protein KRP180),Strongylocentrotus purpuratus (Purple sea urchin)
comp139741_c1_seq1,P43304,0,"""Glycerol-3-phosphate dehydrogenase, mitochondrial (GPD-M) (GPDH-M) (EC 1.1.5.3) (mtGPD)""",Homo sapiens (Human)
comp139743_c0_seq1,Q99MI9,8E-48,Protein arginine N-methyltransferase 7 (EC 2.1.1.-) (Histone-arginine N-methyltransferase PRMT7) (EC 2.1.1.125) ([Myelin basic protein]-arginine N-methyltransferase PRMT7) (EC 2.1.1.126),Cricetulus longicaudatus (Long-tailed dwarf hamster) (Chinese hamster)
comp139746_c0_seq1,Q6PR54,1E-32,Telomere-associated protein RIF1 (Rap1-interacting factor 1 homolog) (mRif1),Mus musculus (Mouse)
comp139748_c1_seq1,Q7TP65,3E-36,Ankyrin repeat and LEM domain-containing protein 2 (LEM domain-containing protein 4) (Liver regeneration-related protein LRRG057),Rattus norvegicus (Rat)
comp139751_c1_seq1,P55200,1E-86,Histone-lysine N-methyltransferase MLL (EC 2.1.1.43) (ALL-1) (Zinc finger protein HRX) [Cleaved into: MLL cleavage product N320 (N-terminal cleavage product of 320 kDa) (p320); MLL cleavage product C180 (C-terminal cleavage product of 180 kDa) (p180)],Mus musculus (Mouse)
comp139751_c1_seq2,Q03164,1E-83,Histone-lysine N-methyltransferase MLL (EC 2.1.1.43) (ALL-1) (CXXC-type zinc finger protein 7) (Lysine N-methyltransferase 2A) (KMT2A) (Trithorax-like protein) (Zinc finger protein HRX) [Cleaved into: MLL cleavage product N320 (N-terminal cleavage product of 320 kDa) (p320); MLL cleavage product C180 (C-terminal cleavage product of 180 kDa) (p180)],Homo sapiens (Human)
comp139751_c3_seq2,O08550,8E-17,Histone-lysine N-methyltransferase MLL4 (EC 2.1.1.43) (Lysine N-methyltransferase 2B) (KMT2B) (Myeloid/lymphoid or mixed-lineage leukemia protein 4 homolog) (Trithorax homolog 2) (WW domain-binding protein 7) (WBP-7),Mus musculus (Mouse)
comp139752_c0_seq1,Q9WUF2,1E-10,Early growth response protein 4 (EGR-4),Mus musculus (Mouse)
comp139752_c0_seq2,C9JN71,9E-27,Zinc finger protein 878,Homo sapiens (Human)
comp139752_c0_seq3,Q8CCE9,3E-13,Transcription factor E4F1 (EC 6.3.2.-) (E4F transcription factor 1) (Putative E3 ubiquitin-protein ligase E4F1) (Transcription factor E4F) (Transcription factor phi AP3) (p120E4F),Mus musculus (Mouse)
comp139752_c0_seq4,P13360,5E-22,Protein glass,Drosophila melanogaster (Fruit fly)
comp139754_c0_seq1,Q5R8H5,3E-120,General transcription factor IIE subunit 1 (Transcription initiation factor IIE subunit alpha) (TFIIE-alpha),Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
comp139756_c0_seq2,Q5BJP5,5E-16,Transmembrane protein 230,Rattus norvegicus (Rat)
comp139757_c0_seq1,Q3TX08,2E-119,"""tRNA (guanine(26)-N(2))-dimethyltransferase (EC 2.1.1.216) (tRNA 2,2-dimethylguanosine-26 methyltransferase) (tRNA(guanine-26,N(2)-N(2)) methyltransferase) (tRNA(m(2,2)G26)dimethyltransferase)""",Mus musculus (Mouse)
comp139759_c0_seq2,Q9HC56,5E-41,Protocadherin-9,Homo sapiens (Human)
comp139760_c1_seq7,P35244,1E-19,Replication protein A 14 kDa subunit (RP-A p14) (Replication factor A protein 3) (RF-A protein 3),Homo sapiens (Human)
comp139762_c0_seq1,O95786,4E-94,Probable ATP-dependent RNA helicase DDX58 (EC 3.6.4.13) (DEAD box protein 58) (RIG-I-like receptor 1) (RLR-1) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I),Homo sapiens (Human)
comp139766_c1_seq1,B6P4U0,3E-54,,
comp139766_c1_seq2,B6P4U0,2E-49,,
comp139766_c1_seq3,P58021,1E-151,Transmembrane 9 superfamily member 2,Mus musculus (Mouse)
comp139766_c1_seq4,P40071,2E-22,Transmembrane 9 superfamily member 3,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
comp139767_c2_seq6,Q80Y14,3E-51,"""Glutaredoxin-related protein 5, mitochondrial (Monothiol glutaredoxin-5)""",Mus musculus (Mouse)
comp139770_c0_seq2,Q8BMD2,1E-24,Zinc finger protein DZIP1 (DAZ-interacting protein 1 homolog),Mus musculus (Mouse)
comp139771_c0_seq1,Q6NXR0,2E-49,Interferon-inducible GTPase 5 (EC 3.6.5.-) (Immunity-related GTPase cinema 1),Homo sapiens (Human)
comp139776_c0_seq1,Q6AY53,2E-179,Deoxyhypusine synthase (DHS) (EC 2.5.1.46),Rattus norvegicus (Rat)
comp139776_c0_seq2,Q6AY53,5E-178,Deoxyhypusine synthase (DHS) (EC 2.5.1.46),Rattus norvegicus (Rat)
comp139779_c0_seq1,P34080,8E-58,Aquaporin-2 (AQP-2) (ADH water channel) (Aquaporin-CD) (AQP-CD) (Collecting duct water channel protein) (WCH-CD) (Water channel protein for renal collecting duct),Rattus norvegicus (Rat)
comp139786_c0_seq1,Q7PYU6,8E-59,Zinc finger CCCH-type with G patch domain-containing protein,Anopheles gambiae (African malaria mosquito)
comp139786_c0_seq2,Q7PYU6,2E-23,Zinc finger CCCH-type with G patch domain-containing protein,Anopheles gambiae (African malaria mosquito)
comp139790_c0_seq1,Q28GD9,4E-19,Ribonuclease H2 subunit B (RNase H2 subunit B) (Ribonuclease HI subunit B),Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
comp139791_c0_seq1,Q7ZX96,0,Nuclear pore complex protein Nup93 (93 kDa nucleoporin) (An4a) (Nucleoporin Nup93),Xenopus laevis (African clawed frog)
comp139791_c0_seq2,P34077,3E-50,Nucleoporin NIC96 (96 kDa nucleoporin-interacting component) (Nuclear pore protein NIC96),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
comp139791_c0_seq3,Q7ZX96,0,Nuclear pore complex protein Nup93 (93 kDa nucleoporin) (An4a) (Nucleoporin Nup93),Xenopus laevis (African clawed frog)
comp139794_c0_seq1,P92204,3E-47,Negative elongation factor E,Drosophila melanogaster (Fruit fly)
comp139798_c0_seq2,Q6PFM0,0,Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6 (EC 1.14.11.-) (Histone arginine demethylase JMJD6) (JmjC domain-containing protein 6) (Jumonji domain-containing protein 6) (Lysyl-hydroxylase JMJD6) (Peptide-lysine 5-dioxygenase JMJD6) (Phosphatidylserine receptor) (Protein PTDSR) (zfpsr),Danio rerio (Zebrafish) (Brachydanio rerio)
comp139798_c0_seq3,Q6PFM0,0,Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6 (EC 1.14.11.-) (Histone arginine demethylase JMJD6) (JmjC domain-containing protein 6) (Jumonji domain-containing protein 6) (Lysyl-hydroxylase JMJD6) (Peptide-lysine 5-dioxygenase JMJD6) (Phosphatidylserine receptor) (Protein PTDSR) (zfpsr),Danio rerio (Zebrafish) (Brachydanio rerio)
comp139798_c0_seq4,Q9M9E8,6E-48,F-box protein At1g78280,Arabidopsis thaliana (Mouse-ear cress)
comp139798_c0_seq7,Q8BFT6,2E-19,JmjC domain-containing protein 4 (Jumonji domain-containing protein 4),Mus musculus (Mouse)
comp139798_c0_seq9,Q5R6G2,1E-99,Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6 (EC 1.14.11.-) (Histone arginine demethylase JMJD6) (JmjC domain-containing protein 6) (Jumonji domain-containing protein 6) (Lysyl-hydroxylase JMJD6) (Peptide-lysine 5-dioxygenase JMJD6) (Phosphatidylserine receptor) (Protein PTDSR),Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
comp139804_c1_seq1,Q09575,6E-12,Uncharacterized protein K02A2.6,Caenorhabditis elegans
comp139805_c0_seq1,Q29496,5E-93,Cytochrome P450 3A24 (EC 1.14.14.1) (CYPIIIA24),Ovis aries (Sheep)
comp139807_c0_seq1,Q9CQX4,6E-18,PCNA-associated factor (HCV NS5A-transactivated protein 9 homolog) (PCNA-associated factor of 15 kDa) (PAF15) (p15PAF),Mus musculus (Mouse)
comp139808_c0_seq1,Q96PQ7,0,Kelch-like protein 5,Homo sapiens (Human)
comp139808_c0_seq2,Q5VTJ3,3E-07,Kelch domain-containing protein 7A,Homo sapiens (Human)
comp139808_c0_seq3,Q96PQ7,0,Kelch-like protein 5,Homo sapiens (Human)
comp139808_c0_seq4,Q920Q8,4E-48,Influenza virus NS1A-binding protein homolog (NS1-BP) (NS1-binding protein homolog) (Kelch family protein Nd1-L) (ND1-L2) (Nd1-S),Mus musculus (Mouse)
comp139810_c0_seq1,P77735,2E-37,Uncharacterized oxidoreductase YajO (EC 1.-.-.-),Escherichia coli (strain K12)
comp139811_c1_seq1,Q8N2A0,2E-19,Putative uncharacterized protein encoded by LINC00269,Homo sapiens (Human)
comp139813_c0_seq3,Q0VDN7,7E-118,RUN domain-containing protein 1,Mus musculus (Mouse)
comp139814_c0_seq2,Q52KD8,9E-39,Chromatin modification-related protein MEAF6 (MYST/Esa1-associated factor 6) (Esa1-associated factor 6 homolog) (Protein EAF6 homolog),Xenopus laevis (African clawed frog)
comp139816_c0_seq1,P0CR48,6E-25,Protein CSN12 homolog,Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) (Filobasidiella neoformans)
comp139816_c0_seq2,Q9VTL1,1E-66,PCI domain-containing protein 2 homolog (dmPCID2) (CSN12-like protein),Drosophila melanogaster (Fruit fly)
comp139816_c0_seq3,Q8BFV2,4E-115,PCI domain-containing protein 2 (CSN12-like protein),Mus musculus (Mouse)
comp139818_c0_seq1,Q0P5A2,3E-109,"""2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial (EC 2.1.1.201) (Ubiquinone biosynthesis methyltransferase COQ5)""",Bos taurus (Bovine)
comp139820_c1_seq11,Q6PDG5,0,SWI/SNF complex subunit SMARCC2 (BRG1-associated factor 170) (BAF170) (SWI/SNF complex 170 kDa subunit) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 2),Mus musculus (Mouse)
comp139820_c1_seq4,Q6PDG5,0,SWI/SNF complex subunit SMARCC2 (BRG1-associated factor 170) (BAF170) (SWI/SNF complex 170 kDa subunit) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 2),Mus musculus (Mouse)
comp139823_c0_seq1,Q11004,1E-33,40 kDa peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin-40) (CYP-40) (Rotamase),Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
comp139823_c0_seq2,P24368,6E-76,Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP),Rattus norvegicus (Rat)
comp139827_c0_seq1,P97789,0,5'-3' exoribonuclease 1 (mXRN1) (EC 3.1.13.-) (Protein Dhm2) (Strand-exchange protein 1 homolog),Mus musculus (Mouse)
comp139827_c0_seq5,P97789,1E-64,5'-3' exoribonuclease 1 (mXRN1) (EC 3.1.13.-) (Protein Dhm2) (Strand-exchange protein 1 homolog),Mus musculus (Mouse)
comp139829_c0_seq2,P10076,2E-09,Zinc finger protein 26 (Zfp-26) (Protein mKR3),Mus musculus (Mouse)
comp139832_c0_seq1,Q8BLI0,5E-24,ADAMTS-like protein 1 (ADAMTSL-1) (Punctin-1),Mus musculus (Mouse)
comp139838_c2_seq1,Q7SXV9,1E-98,Calumenin-B,Danio rerio (Zebrafish) (Brachydanio rerio)
comp139838_c2_seq3,Q7SXV9,7E-120,Calumenin-B,Danio rerio (Zebrafish) (Brachydanio rerio)
comp139838_c2_seq4,Q4R585,1E-07,45 kDa calcium-binding protein (Cab45) (Stromal cell-derived factor 4) (SDF-4),Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
comp139846_c0_seq1,Q28GD4,3E-48,ELAV-like protein 2 (Protein ElrB),Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
comp139846_c0_seq2,Q9UT83,8E-12,Meiotically up-regulated gene 28 protein,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
comp139850_c0_seq4,O88813,6E-161,Long-chain-fatty-acid--CoA ligase 5 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 5) (LACS 5),Rattus norvegicus (Rat)
comp139850_c0_seq6,P86832,7E-08,4-chlorobenzoate--CoA ligase (4-CBA:CoA ligase) (EC 6.2.1.33),Arthrobacter sp.
comp139852_c1_seq1,Q9Y5B6,2E-115,PAX3- and PAX7-binding protein 1 (GC-rich sequence DNA-binding factor 1),Homo sapiens (Human)
comp139854_c1_seq2,Q6GP98,3E-11,Selenoprotein M (SelM),Xenopus laevis (African clawed frog)
comp139854_c1_seq3,G4WAW9,1E-19,Selenoprotein M,Eriocheir sinensis (Chinese mitten crab)
comp139854_c1_seq4,G4WAW9,1E-19,Selenoprotein M,Eriocheir sinensis (Chinese mitten crab)
comp139855_c0_seq1,Q20930,3E-20,ADAM family mig-17 (EC 3.4.24.-) (A disintegrin and metalloproteinase mig-17) (Abnormal cell migration protein 17),Caenorhabditis elegans
comp139861_c0_seq1,Q7T6Y2,5E-08,Putative serine/threonine-protein kinase/receptor R831 (EC 2.7.11.1),R831
comp139861_c0_seq2,Q9Z2A6,1E-12,Mitogen-activated protein kinase 15 (MAP kinase 15) (MAPK 15) (EC 2.7.11.24) (Extracellular signal-regulated kinase 7) (ERK-7),Rattus norvegicus (Rat)
comp139861_c0_seq3,Q55G97,5E-64,TBC domain-containing protein kinase-like protein (RabGAP/TBC domain-containing protein),G0267760
comp139861_c0_seq5,Q5F361,0,TBC domain-containing protein kinase-like protein,32m11
comp139861_c0_seq6,Q8T2I8,5E-20,Serine/threonine-protein kinase sepA (EC 2.7.11.1) (Septase A),G0276465
comp139861_c0_seq7,Q5F361,0,TBC domain-containing protein kinase-like protein,32m11
comp139862_c0_seq1,Q5R4R9,3E-19,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4 (Hormone-regulated proliferation-associated protein of 20 kDa homolog) (Protein HRPAP20),Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
comp139864_c0_seq1,Q90744,9E-18,Alpha-N-acetylgalactosaminidase (EC 3.2.1.49) (Alpha-galactosidase B),Gallus gallus (Chicken)
comp139864_c2_seq1,Q5C9L6,2E-72,(S)-coclaurine N-methyltransferase (TfCNMT) (EC 2.1.1.140),Thalictrum flavum subsp. glaucum (Yellow meadow rue)
comp139864_c2_seq2,P51569,3E-44,Alpha-galactosidase A (EC 3.2.1.22) (Alpha-D-galactosidase A) (Alpha-D-galactoside galactohydrolase) (Melibiase),Mus musculus (Mouse)
comp139864_c2_seq5,Q9UJ83,3E-136,2-hydroxyacyl-CoA lyase 1 (EC 4.1.-.-) (2-hydroxyphytanoyl-CoA lyase) (2-HPCL) (Phytanoyl-CoA 2-hydroxylase 2),Homo sapiens (Human)
comp139867_c0_seq5,Q2TBI2,3E-06,THAP domain-containing protein 4,Bos taurus (Bovine)
comp139869_c0_seq1,Q9WVA3,9E-167,Mitotic checkpoint protein BUB3 (WD repeat type I transmembrane protein A72.5),Mus musculus (Mouse)
comp139877_c0_seq1,P07742,0,Ribonucleoside-diphosphate reductase large subunit (EC 1.17.4.1) (Ribonucleoside-diphosphate reductase subunit M1) (Ribonucleotide reductase large subunit),Mus musculus (Mouse)
comp139878_c0_seq1,Q4R979,4E-29,RNA-binding protein 4 (RNA-binding motif protein 4),Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
comp139878_c1_seq4,P12270,1E-17,Nucleoprotein TPR (Megator) (NPC-associated intranuclear protein) (Translocated promoter region protein),Homo sapiens (Human)
comp139879_c0_seq2,Q7SZE5,0,Protein transport protein Sec23A (SEC23-related protein A),Danio rerio (Zebrafish) (Brachydanio rerio)
comp139879_c0_seq4,Q9D662,0,Protein transport protein Sec23B (SEC23-related protein B),Mus musculus (Mouse)
comp139881_c0_seq4,Q9JID6,6E-160,Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Palmitoyl-CoA ligase),Cavia porcellus (Guinea pig)
comp139881_c0_seq5,Q9JID6,2E-169,Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Palmitoyl-CoA ligase),Cavia porcellus (Guinea pig)
comp139885_c0_seq2,Q58EN8,3E-34,Vacuolar protein sorting-associated protein 33B,Danio rerio (Zebrafish) (Brachydanio rerio)
comp139885_c1_seq1,Q6DGP2,2E-71,Pre-mRNA-splicing factor syf2,Danio rerio (Zebrafish) (Brachydanio rerio)
comp139885_c1_seq2,Q6DGP2,4E-38,Pre-mRNA-splicing factor syf2,Danio rerio (Zebrafish) (Brachydanio rerio)
comp139887_c1_seq1,Q9EQX4,4E-36,Allograft inflammatory factor 1-like (Ionized calcium-binding adapter molecule 2),Mus musculus (Mouse)
comp139888_c2_seq1,Q14697,0,Neutral alpha-glucosidase AB (EC 3.2.1.84) (Alpha-glucosidase 2) (Glucosidase II subunit alpha),Homo sapiens (Human)
comp139888_c2_seq2,Q9BE70,0,Neutral alpha-glucosidase C (EC 3.2.1.-) (Fragment),Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
comp139890_c0_seq4,A4IFC4,4E-17,SH3 domain-binding glutamic acid-rich-like protein 2,Bos taurus (Bovine)
comp139893_c0_seq1,Q6DJ25,2E-59,Mediator of RNA polymerase II transcription subunit 10 (Mediator complex subunit 10),Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
comp139893_c0_seq2,Q1E0Q7,2E-08,Mediator of RNA polymerase II transcription subunit 10 (Mediator complex subunit 10),3856
comp139895_c0_seq1,Q6ZWR6,6E-27,Nesprin-1 (Enaptin) (Myocyte nuclear envelope protein 1) (Myne-1) (Nuclear envelope spectrin repeat protein 1) (Synaptic nuclear envelope protein 1) (Syne-1),Mus musculus (Mouse)
comp139895_c0_seq6,Q6ZWR6,4E-104,Nesprin-1 (Enaptin) (Myocyte nuclear envelope protein 1) (Myne-1) (Nuclear envelope spectrin repeat protein 1) (Synaptic nuclear envelope protein 1) (Syne-1),Mus musculus (Mouse)
comp139896_c0_seq1,Q5ZKI4,0,Coiled-coil domain-containing protein 93,10i21
comp139896_c0_seq4,Q5ZKI4,0,Coiled-coil domain-containing protein 93,10i21
comp139897_c1_seq2,Q2KI51,2E-08,Protein phosphatase 1 regulatory subunit 15A (Growth arrest and DNA damage-inducible protein GADD34),Bos taurus (Bovine)
comp139897_c1_seq3,Q6IN02,2E-09,Protein phosphatase 1 regulatory subunit 15A (Growth arrest and DNA damage-inducible protein GADD34) (Myeloid differentiation primary response protein MyD116 homolog) (Progression elevated gene 3 protein) (PEG-3),Rattus norvegicus (Rat)
comp139899_c0_seq1,O08623,3E-36,Sequestosome-1 (Protein kinase C-zeta-interacting protein) (PKC-zeta-interacting protein) (Ubiquitin-binding protein p62),Rattus norvegicus (Rat)
comp139899_c0_seq3,Q9P792,1E-06,ZZ-type zinc finger-containing protein P35G2.11c,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
comp139899_c0_seq4,Q5RBA5,4E-33,Sequestosome-1 (Ubiquitin-binding protein p62),Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
comp139900_c0_seq1,Q924M7,2E-61,Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI),Mus musculus (Mouse)
comp139900_c1_seq1,Q83KZ1,2E-25,Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI),Shigella flexneri
comp139903_c1_seq2,Q9UBV2,4E-159,Protein sel-1 homolog 1 (Suppressor of lin-12-like protein 1) (Sel-1L),Homo sapiens (Human)
comp139904_c0_seq1,Q5R6W5,4E-83,Protein YIPF5 (YIP1 family member 5),Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
comp139906_c0_seq1,Q9UPI3,8E-148,Feline leukemia virus subgroup C receptor-related protein 2 (Calcium-chelate transporter) (CCT),Homo sapiens (Human)
comp139906_c0_seq2,Q6GNV7,6E-27,Disrupted in renal carcinoma protein 2 homolog,Xenopus laevis (African clawed frog)
comp139906_c0_seq3,Q9UPI3,7E-148,Feline leukemia virus subgroup C receptor-related protein 2 (Calcium-chelate transporter) (CCT),Homo sapiens (Human)
comp139911_c5_seq1,Q9H0F5,1E-22,RING finger protein 38,Homo sapiens (Human)
comp139911_c5_seq2,Q9H0F5,1E-21,RING finger protein 38,Homo sapiens (Human)
comp139911_c5_seq4,Q8GUU2,8E-12,E3 ubiquitin protein ligase RIE1 (EC 6.3.2.-) (Protein RING-FINGER FOR EMBRYOGENESIS 1),Arabidopsis thaliana (Mouse-ear cress)
comp139918_c0_seq1,Q8CI17,3E-11,Protein mab-21-like 3,Mus musculus (Mouse)
comp139918_c0_seq2,P45985,3E-168,Dual specificity mitogen-activated protein kinase kinase 4 (MAP kinase kinase 4) (MAPKK 4) (EC 2.7.12.2) (JNK-activating kinase 1) (MAPK/ERK kinase 4) (MEK 4) (SAPK/ERK kinase 1) (SEK1) (Stress-activated protein kinase kinase 1) (SAPK kinase 1) (SAPKK-1) (SAPKK1) (c-Jun N-terminal kinase kinase 1) (JNKK),Homo sapiens (Human)
comp139918_c0_seq3,P45985,7E-168,Dual specificity mitogen-activated protein kinase kinase 4 (MAP kinase kinase 4) (MAPKK 4) (EC 2.7.12.2) (JNK-activating kinase 1) (MAPK/ERK kinase 4) (MEK 4) (SAPK/ERK kinase 1) (SEK1) (Stress-activated protein kinase kinase 1) (SAPK kinase 1) (SAPKK-1) (SAPKK1) (c-Jun N-terminal kinase kinase 1) (JNKK),Homo sapiens (Human)
comp139921_c1_seq1,O35625,1E-25,Axin-1 (Axis inhibition protein 1) (Protein Fused),Mus musculus (Mouse)
comp139921_c2_seq1,P57094,5E-27,Axin-1 (Axis inhibition protein 1),Danio rerio (Zebrafish) (Brachydanio rerio)
comp139924_c0_seq6,Q6NSJ0,3E-87,Uncharacterized family 31 glucosidase KIAA1161 (EC 3.2.1.-),Homo sapiens (Human)
comp139925_c0_seq1,Q96DY2,8E-49,IQ domain-containing protein D,Homo sapiens (Human)
comp139926_c1_seq1,Q60803,3E-86,TNF receptor-associated factor 3 (EC 6.3.2.-) (CD40 receptor-associated factor 1) (CRAF1) (TRAFAMN),Mus musculus (Mouse)
comp139926_c1_seq10,Q6IWL4,9E-23,TNF receptor-associated factor 6 (EC 6.3.2.-) (E3 ubiquitin-protein ligase TRAF6),Danio rerio (Zebrafish) (Brachydanio rerio)
comp139926_c1_seq11,Q60803,3E-90,TNF receptor-associated factor 3 (EC 6.3.2.-) (CD40 receptor-associated factor 1) (CRAF1) (TRAFAMN),Mus musculus (Mouse)
comp139926_c1_seq12,P93471,4E-06,E3 ubiquitin-protein ligase COP1 (EC 6.3.2.-) (Constitutive photomorphogenesis protein 1),Pisum sativum (Garden pea)
comp139926_c1_seq3,Q13114,3E-133,TNF receptor-associated factor 3 (EC 6.3.2.-) (CAP-1) (CD40 receptor-associated factor 1) (CRAF1) (CD40-binding protein) (CD40BP) (LMP1-associated protein 1) (LAP1),Homo sapiens (Human)
comp139926_c1_seq4,O00463,3E-66,TNF receptor-associated factor 5 (RING finger protein 84),Homo sapiens (Human)
comp139926_c1_seq5,Q54NN4,1E-13,TNF receptor-associated factor family protein DDB,DDB
comp139926_c1_seq6,Q54C11,2E-10,TNF receptor-associated factor family protein DDB,DDB
comp139926_c1_seq7,Q13077,1E-59,TNF receptor-associated factor 1 (Epstein-Barr virus-induced protein 6),Homo sapiens (Human)
comp139927_c0_seq1,Q2TBS2,1E-32,"""39S ribosomal protein L21, mitochondrial (L21mt) (MRP-L21)""",Bos taurus (Bovine)
comp139930_c0_seq2,Q03017,3E-34,NF-kappa-B inhibitor cactus,Drosophila melanogaster (Fruit fly)
comp139932_c0_seq1,P25490,2E-107,Transcriptional repressor protein YY1 (Delta transcription factor) (INO80 complex subunit S) (NF-E1) (Yin and yang 1) (YY-1),Homo sapiens (Human)
comp139932_c0_seq3,Q2FAY8,2E-98,Transcription factor YY2 (Yin and yang 2) (YY-2),Rattus rattus (Black rat)
comp139932_c0_seq4,A6QQW0,3E-24,Zinc finger protein 143 (Selenocysteine tRNA gene transcription-activating factor),Bos taurus (Bovine)
comp139932_c0_seq5,P22227,7E-57,Zinc finger protein 42 (Zfp-42) (Reduced expression protein 1) (REX-1) (mREX-1),Mus musculus (Mouse)
comp139937_c1_seq1,Q9Y5B8,2E-164,Nucleoside diphosphate kinase 7 (NDK 7) (NDP kinase 7) (EC 2.7.4.6) (nm23-H7),Homo sapiens (Human)
comp139938_c3_seq1,A2ABV5,0,Mediator of RNA polymerase II transcription subunit 14 (Cofactor required for Sp1 transcriptional activation subunit 2) (CRSP complex subunit 2) (Mediator complex subunit 14) (Thyroid hormone receptor-associated protein complex 170 kDa component) (Trap170),Mus musculus (Mouse)
comp139941_c0_seq1,Q9PTR5,0,Lissencephaly-1 homolog,Gallus gallus (Chicken)
comp139941_c0_seq2,Q42384,8E-23,Protein pleiotropic regulatory locus 1 (Protein PRL1) (MOS4-associated complex protein 2) (MAC protein 2),Arabidopsis thaliana (Mouse-ear cress)
comp139941_c1_seq1,Q9Z0F4,2E-47,Calcium and integrin-binding protein 1 (CIB) (Calmyrin) (DNA-PKcs-interacting protein) (Kinase-interacting protein) (KIP),Mus musculus (Mouse)
comp139943_c0_seq1,Q5R754,7E-124,Cyclin-dependent kinase-like 2 (EC 2.7.11.22),Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
comp139943_c0_seq3,Q5R754,3E-160,Cyclin-dependent kinase-like 2 (EC 2.7.11.22),Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
comp139944_c1_seq4,Q17QN2,1E-102,Target of EGR1 protein 1,Bos taurus (Bovine)
comp139944_c1_seq6,Q9D2E2,6E-40,Target of EGR1 protein 1,Mus musculus (Mouse)
comp139946_c0_seq1,Q5JHP2,4E-57,Replication factor C small subunit (RFC small subunit) (Clamp loader small subunit) [Cleaved into: Pko RFC intein],Pyrococcus kodakaraensis (strain ATCC BAA-918 / JCM 12380 / KOD1) (Thermococcus kodakaraensis (strain KOD1))
comp139946_c0_seq2,P0C7N7,9E-47,Replication factor C subunit 2 (Replication factor C2),4350
comp139946_c0_seq6,P53033,0,Replication factor C subunit 2 (Activator 1 40 kDa subunit) (A1 40 kDa subunit) (Activator 1 subunit 2) (Replication factor C 40 kDa subunit) (RF-C 40 kDa subunit) (RFC40),Gallus gallus (Chicken)
comp139949_c0_seq1,Q9BVR0,1E-51,Putative HERC2-like protein 3,Homo sapiens (Human)
